dia_semana,br,km,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,latitude,longitude,delegacia,classificacao_acidente,postos_policiais_PRF
segunda-feira,BR-101,208.9,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,-27.60328,-48.63202,DEL01-SC,Risco Médio,Alta
sábado,BR-376,124.0,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,-23.1419,-52.2847,DEL07-PR,Risco Médio,Baixa
terça-feira,BR-277,83.0,Plena Noite,Crescente,Céu Claro,Dupla,Reta,-25.56894,-49.18198,DEL01-PR,Risco Médio,Média
quarta-feira,BR-153,425.0,Pleno dia,Crescente,Nublado,Dupla,Reta,-9.530223,-48.59309,DEL02-TO,Risco Médio,Alta
sexta-feira,BR-356,28.0,Pleno dia,Crescente,Céu Claro,Simples,Reta,-21.18452,-41.9363,DEL08-RJ,Risco Médio,Baixa
terça-feira,BR-251,469.1,Amanhecer,Crescente,Garoa/Chuvisco,Simples,Não Informado,-16.47846,-43.41953,DEL12-MG,Risco Médio,Baixa
segunda-feira,BR-116,187.0,Pleno dia,Crescente,Céu Claro,Múltipla,Reta,-22.73884,-43.47245,DEL01-RJ,Risco Médio,Alta
quarta-feira,BR-324,599.0,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,-12.75118,-38.43129,DEL01-BA,Risco Baixo,Baixa
sábado,BR-376,3.5,Pleno dia,Crescente,Garoa/Chuvisco,Simples,Interseção de vias,-23.55855,-51.44021,DEL07-PR,Risco Médio,Baixa
domingo,BR-402,40.0,Plena Noite,Decrescente,Céu Claro,Simples,Curva,-2.967697,-41.7085,DEL05-PI,Risco Médio,Baixa
domingo,BR-282,28.0,Pleno dia,Decrescente,Chuva,Simples,Rotatória,-27.67478,-48.7789,DEL01-SC,Risco Médio,Baixa
sábado,BR-116,245.9,Pleno dia,Crescente,Nublado,Simples,Interseção de vias,-29.74981,-51.15125,DEL01-RS,Risco Baixo,Alta
segunda-feira,BR-424,82.0,Pleno dia,Decrescente,Céu Claro,Simples,Desvio Temporário,-8.840841,-36.5319,DEL03-PE,Risco Médio,Baixa
terça-feira,BR-343,329.9,Pleno dia,Crescente,Céu Claro,Simples,Reta,-5.061176,-42.65243,DEL01-PI,Risco Alto,Baixa
segunda-feira,BR-153,424.0,Anoitecer,Decrescente,Céu Claro,Dupla,Não Informado,-16.21403,-49.01692,DEL02-GO,Risco Médio,Alta
sexta-feira,BR-116,256.0,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,-29.84394,-51.17729,DEL01-RS,Risco Médio,Alta
quinta-feira,BR-101,402.4,Plena Noite,Crescente,Chuva,Simples,Reta,-28.86815,-49.45011,DEL02-SC,Risco Alto,Alta
domingo,BR-101,297.8,Plena Noite,Decrescente,Chuva,Múltipla,Não Informado,-20.35318,-40.41503,DEL01-ES,Risco Médio,Alta
terça-feira,BR-101,101.9,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,-5.895066,-35.12527,DEL01-RN,Risco Médio,Alta
terça-feira,BR-364,536.0,Pleno dia,Decrescente,Céu Claro,Simples,Curva,-9.753026,-63.11118,DEL03-RO,Risco Médio,Alta
sexta-feira,BR-101,118.0,Pleno dia,Crescente,Céu Claro,Dupla,Reta,-6.016059,-35.25348,DEL01-RN,Risco Médio,Alta
quarta-feira,BR-285,459.4,Pleno dia,Decrescente,Sol,Simples,Reta,-28.40082,-53.89838,DEL10-RS,Risco Médio,Baixa
sexta-feira,BR-163,344.0,Amanhecer,Crescente,Céu Claro,Simples,Reta,-21.64274,-54.42334,DEL02-MS,Risco Médio,Alta
segunda-feira,BR-158,526.0,Pleno dia,Decrescente,Nublado,Simples,Reta,-26.25043,-52.70687,DEL02-PR,Risco Médio,Baixa
segunda-feira,BR-381,55.0,Plena Noite,Crescente,Céu Claro,Múltipla,Reta,-23.25207,-46.5948,DEL03-SP,Risco Médio,Alta
quinta-feira,BR-116,182.4,Pleno dia,Crescente,Céu Claro,Simples,Reta,-17.0679,-41.4821,DEL11-MG,Risco Médio,Alta
domingo,BR-386,414.0,Pleno dia,Decrescente,Nevoeiro/Neblina,Simples,Rotatória,-29.81624,-51.48334,DEL04-RS,Risco Médio,Média
sábado,BR-40,123.0,Pleno dia,Crescente,Nublado,Múltipla,Curva,-22.79913,-43.2902,DEL01-RJ,Risco Médio,Alta
terça-feira,BR-110,306.0,Amanhecer,Decrescente,Céu Claro,Simples,Reta,-11.95972,-38.37253,DEL01-BA,Risco Baixo,Baixa
quinta-feira,BR-101,387.0,Plena Noite,Decrescente,Nublado,Simples,Curva,-14.01465,-39.43632,DEL05-BA,Risco Baixo,Alta
quarta-feira,BR-364,275.0,Pleno dia,Crescente,Sol,Simples,Desvio Temporário,-17.65195,-52.34901,DEL05-GO,Risco Médio,Alta
segunda-feira,BR-60,133.0,Pleno dia,Crescente,Céu Claro,Dupla,Reta,-16.589,-49.1945,DEL01-GO,Risco Baixo,Média
quinta-feira,BR-116,519.0,Pleno dia,Crescente,Nublado,Simples,Reta,-24.8883,-48.2278,DEL05-SP,Risco Baixo,Alta
domingo,BR-381,486.0,Pleno dia,Decrescente,Nublado,Simples,Interseção de vias,-19.956,-44.1064,DEL01-MG,Risco Médio,Alta
domingo,BR-40,507.0,Pleno dia,Crescente,Céu Claro,Dupla,Reta,-19.76278,-44.13236,DEL02-MG,Risco Baixo,Alta
terça-feira,BR-153,42.8,Pleno dia,Crescente,Céu Claro,Simples,Reta,-20.63725,-49.33844,DEL09-SP,Risco Médio,Alta
quinta-feira,BR-101,435.0,Anoitecer,Decrescente,Céu Claro,Simples,Reta,-29.09949,-49.63481,DEL02-SC,Risco Médio,Alta
sexta-feira,BR-381,721.7,Pleno dia,Crescente,Céu Claro,Dupla,Curva,-21.46902,-45.20581,DEL04-MG,Risco Médio,Alta
quarta-feira,BR-364,128.0,Pleno dia,Crescente,Céu Claro,Simples,Reta,-10.0259,-67.82,DEL01-AC,Risco Médio,Alta
domingo,BR-222,672.0,Pleno dia,Crescente,Céu Claro,Simples,Reta,-4.939699,-47.46326,DEL04-MA,Risco Médio,Baixa
quarta-feira,BR-116,549.7,Plena Noite,Crescente,Céu Claro,Simples,Não Informado,-19.9558,-42.13131,DEL06-MG,Risco Médio,Alta
quarta-feira,BR-40,3.8,Plena Noite,Decrescente,Céu Claro,Simples,Reta,-16.01203,-47.98212,DEL01-DF,Risco Baixo,Alta
quarta-feira,BR-101,117.8,Pleno dia,Crescente,Nublado,Múltipla,Reta,-26.89463,-48.71957,DEL04-SC,Risco Médio,Alta
quinta-feira,BR-376,5.0,Pleno dia,Crescente,Sol,Dupla,Reta,-23.5492,-51.44999,DEL07-PR,Risco Médio,Baixa
sexta-feira,BR-101,45.7,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta,-7.86928,-34.90663,DEL01-PE,Risco Baixo,Alta
domingo,BR-376,257.2,Pleno dia,Decrescente,Céu Claro,Simples,Reta,-23.66277,-51.36604,DEL07-PR,Risco Baixo,Baixa
quarta-feira,BR-251,345.0,Plena Noite,Decrescente,Céu Claro,Simples,Não Informado,-16.26353,-42.51108,DEL12-MG,Risco Alto,Baixa
quarta-feira,BR-470,213.0,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,-29.15018,-51.53015,DEL06-RS,Risco Médio,Baixa
quarta-feira,BR-364,200.0,Pleno dia,Crescente,Céu Claro,Dupla,Interseção de vias,-16.49613,-54.6385,DEL02-MT,Risco Baixo,Alta
sábado,BR-470,43.0,Amanhecer,Crescente,Céu Claro,Simples,Reta,-26.87452,-49.01345,DEL04-SC,Risco Baixo,Baixa
sexta-feira,BR-40,699.0,Pleno dia,Crescente,Céu Claro,Dupla,Não Informado,-21.16945,-43.7565,DEL05-MG,Risco Médio,Alta
sábado,BR-116,80.0,Pleno dia,Crescente,Chuva,Simples,Reta,-22.39007,-42.95336,DEL04-RJ,Risco Baixo,Alta
domingo,BR-60,210.0,Plena Noite,Crescente,Céu Claro,Dupla,Reta,-16.9406,-49.6717,DEL01-GO,Risco Médio,Média
quinta-feira,BR-153,72.9,Pleno dia,Crescente,Céu Claro,Simples,Reta,-20.87535,-49.41934,DEL09-SP,Risco Médio,Alta
terça-feira,BR-343,251.9,Plena Noite,Decrescente,Nublado,Simples,Reta,-4.733643,-42.10629,DEL01-PI,Risco Médio,Baixa
sexta-feira,BR-163,185.0,Plena Noite,Decrescente,Garoa/Chuvisco,Dupla,Curva,-25.17259,-53.60346,DEL04-PR,Risco Baixo,Alta
domingo,BR-116,49.4,Pleno dia,Crescente,Céu Claro,Simples,Não Informado,-26.37077,-50.1256,DEL06-SC,Risco Baixo,Alta
segunda-feira,BR-470,54.5,Pleno dia,Crescente,Nublado,Simples,Interseção de vias,-26.87326,-49.11418,DEL04-SC,Risco Médio,Baixa
quinta-feira,BR-381,890.3,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,-22.54098,-46.03747,DEL16-MG,Risco Médio,Alta
sábado,BR-40,517.0,Plena Noite,Crescente,Chuva,Dupla,Reta,-19.82954,-44.08342,DEL01-MG,Risco Médio,Alta
sábado,BR-101,2.1,Pleno dia,Decrescente,Nublado,Dupla,Curva,-29.31812,-49.77455,DEL03-RS,Risco Médio,Alta
quarta-feira,BR-470,231.0,Pleno dia,Crescente,Céu Claro,Simples,Curva,-29.28738,-51.4902,DEL06-RS,Risco Baixo,Baixa
sábado,BR-230,115.0,Amanhecer,Decrescente,Céu Claro,Dupla,Reta,-5.362414,-49.07496,DEL03-PA,Risco Baixo,Baixa
domingo,BR-230,48.0,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,-7.174,-35.0397,DEL01-PB,Risco Médio,Baixa
sexta-feira,BR-232,408.0,Plena Noite,Crescente,Céu Claro,Simples,Retorno Regulamentado,-7.983714,-38.28048,DEL04-PE,Risco Médio,Baixa
quinta-feira,BR-101,273.7,Plena Noite,Decrescente,Nublado,Dupla,Reta,-20.22031,-40.29058,DEL02-ES,Risco Médio,Alta
quinta-feira,BR-163,656.0,Anoitecer,Crescente,Garoa/Chuvisco,Simples,Reta,-13.32853,-56.05032,DEL06-MT,Risco Médio,Alta
quarta-feira,BR-282,539.7,Pleno dia,Decrescente,Sol,Simples,Não Informado,-26.99135,-52.6814,DEL07-SC,Risco Alto,Baixa
segunda-feira,BR-101,263.0,Pleno dia,Decrescente,Céu Claro,Simples,Reta,-13.09004,-39.27863,DEL01-BA,Risco Médio,Alta
domingo,BR-101,47.0,Pleno dia,Decrescente,Ignorado,Simples,Reta,-5.50186,-35.3219,DEL02-RN,Risco Médio,Alta
sábado,BR-376,123.9,Pleno dia,Crescente,Céu Claro,Múltipla,Reta,-23.13829,-52.28944,DEL09-PR,Risco Baixo,Baixa
sábado,BR-381,509.0,Pleno dia,Decrescente,Chuva,Dupla,Curva,-20.07008,-44.29882,DEL01-MG,Risco Médio,Alta
quarta-feira,BR-364,276.8,Plena Noite,Decrescente,Céu Claro,Simples,Reta,-15.95143,-54.99756,DEL02-MT,Risco Alto,Alta
sábado,BR-116,91.5,Pleno dia,Decrescente,Nublado,Dupla,Reta,-22.94923,-45.39842,DEL08-SP,Risco Baixo,Alta
sábado,BR-343,345.2,Plena Noite,Decrescente,Céu Claro,Simples,Reta,-5.087362,-42.75785,DEL01-PI,Risco Baixo,Baixa
domingo,BR-448,18.0,Plena Noite,Decrescente,Nublado,Dupla,Reta,-29.94461,-51.20446,DEL01-RS,Risco Médio,Baixa
quinta-feira,BR-116,443.0,Pleno dia,Decrescente,Nublado,Dupla,Reta,-24.48337,-47.83244,DEL05-SP,Risco Médio,Alta
sábado,BR-158,135.5,Pleno dia,Crescente,Céu Claro,Simples,Não Informado,-19.99,-51.11362,DEL08-MS,Risco Médio,Baixa
domingo,BR-285,629.0,Plena Noite,Crescente,Céu Claro,Simples,Reta,-28.55021,-55.56559,DEL12-RS,Risco Médio,Baixa
quinta-feira,BR-386,17.3,Pleno dia,Decrescente,Nublado,Simples,Reta,-27.24721,-53.34377,DEL08-RS,Risco Médio,Média
sábado,BR-381,359.0,Anoitecer,Decrescente,Céu Claro,Simples,Reta,-19.83897,-43.1828,DEL03-MG,Risco Médio,Alta
quinta-feira,BR-287,500.9,Pleno dia,Crescente,Nublado,Simples,Reta,-28.83853,-55.71683,DEL12-RS,Risco Médio,Baixa
sexta-feira,BR-277,133.0,Pleno dia,Decrescente,Nublado,Dupla,Reta,-25.4711,-49.6779,DEL01-PR,Risco Baixo,Média
sexta-feira,BR-135,323.6,Plena Noite,Decrescente,Céu Claro,Simples,Reta,-5.146726,-44.45592,DEL03-MA,Risco Alto,Baixa
domingo,BR-116,284.0,Plena Noite,Decrescente,Céu Claro,Simples,Reta,-17.87205,-41.51964,DEL11-MG,Risco Médio,Alta
terça-feira,BR-163,751.5,Pleno dia,Decrescente,Céu Claro,Dupla,Retorno Regulamentado,-12.56723,-55.7239,DEL06-MT,Risco Baixo,Alta
quarta-feira,BR-116,295.6,Pleno dia,Crescente,Sol,Dupla,Reta,-30.07969,-51.34155,DEL02-RS,Risco Médio,Alta
quinta-feira,BR-364,718.6,Pleno dia,Decrescente,Chuva,Dupla,Não Informado,-8.798451,-63.91144,DEL01-RO,Risco Médio,Alta
quinta-feira,BR-116,12.8,Pleno dia,Crescente,Sol,Dupla,Reta,-25.37732,-49.15401,DEL01-PR,Risco Médio,Alta
quinta-feira,BR-116,431.9,Pleno dia,Decrescente,Céu Claro,Dupla,Viaduto,-12.29572,-39.03109,DEL02-BA,Risco Médio,Alta
domingo,BR-101,118.0,Anoitecer,Crescente,Nublado,Dupla,Reta,-26.89586,-48.71903,DEL04-SC,Risco Médio,Alta
sexta-feira,BR-381,75.0,Pleno dia,Crescente,Chuva,Dupla,Reta,-23.3766,-46.5641,DEL03-SP,Risco Baixo,Alta
sábado,BR-101,431.8,Plena Noite,Crescente,Céu Claro,Dupla,Viaduto,-29.07016,-49.62634,DEL02-SC,Risco Médio,Alta
quinta-feira,BR-364,712.0,Pleno dia,Decrescente,Sol,Dupla,Reta,-8.773181,-63.88041,DEL01-RO,Risco Médio,Alta
segunda-feira,BR-381,726.9,Pleno dia,Decrescente,Nublado,Dupla,Curva,-21.47342,-45.20388,DEL04-MG,Risco Baixo,Alta
sexta-feira,BR-222,4.2,Pleno dia,Crescente,Céu Claro,Múltipla,Reta,-3.741841,-38.60573,DEL01-CE,Risco Baixo,Baixa
quarta-feira,BR-70,361.0,Pleno dia,Decrescente,Céu Claro,Simples,Reta,-15.4776,-54.96145,DEL05-MT,Risco Baixo,Baixa
sexta-feira,BR-163,278.3,Anoitecer,Crescente,Céu Claro,Simples,Reta,-22.14945,-54.63417,DEL04-MS,Risco Médio,Alta
terça-feira,BR-262,432.5,Pleno dia,Crescente,Sol,Dupla,Reta,-19.8867,-44.895,DEL08-MG,Risco Baixo,Média
terça-feira,BR-280,28.3,Plena Noite,Crescente,Nublado,Simples,Reta,-26.41184,-48.75466,DEL03-SC,Risco Alto,Baixa
terça-feira,BR-316,114.0,Pleno dia,Crescente,Sol,Simples,Reta,-9.402873,-36.97983,DEL03-AL,Risco Médio,Baixa
segunda-feira,BR-116,177.8,Pleno dia,Decrescente,Nublado,Dupla,Reta,-23.32333,-46.11958,DEL02-SP,Risco Médio,Alta
quinta-feira,BR-116,264.0,Plena Noite,Decrescente,Céu Claro,Múltipla,Reta,-29.91444,-51.17754,DEL01-RS,Risco Médio,Alta
sexta-feira,BR-116,230.0,Pleno dia,Decrescente,Sol,Múltipla,Reta,-23.5174,-46.58134,DEL01-SP,Risco Médio,Alta
quinta-feira,BR-116,833.2,Amanhecer,Decrescente,Garoa/Chuvisco,Simples,Reta,-14.93498,-40.88992,DEL08-BA,Risco Baixo,Alta
segunda-feira,BR-116,222.0,Pleno dia,Crescente,Céu Claro,Múltipla,Reta,-23.481,-46.533,DEL01-SP,Risco Baixo,Alta
quarta-feira,BR-116,255.0,Plena Noite,Crescente,Nublado,Dupla,Reta,-29.83523,-51.17484,DEL01-RS,Risco Baixo,Alta
terça-feira,BR-290,476.6,Pleno dia,Decrescente,Chuva,Simples,Reta,-30.24036,-54.87856,DEL11-RS,Risco Alto,Baixa
quinta-feira,BR-116,17.0,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,-3.8995,-38.504,DEL01-CE,Risco Médio,Alta
domingo,BR-280,29.5,Plena Noite,Crescente,Garoa/Chuvisco,Simples,Reta,-26.41327,-48.75831,DEL03-SC,Risco Médio,Baixa
quinta-feira,BR-116,214.0,Pleno dia,Decrescente,Nublado,Múltipla,Reta,-23.44333,-46.44531,DEL01-SP,Risco Baixo,Alta
terça-feira,BR-116,133.0,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,-23.13596,-45.75327,DEL06-SP,Risco Baixo,Alta
sábado,BR-415,25.0,Pleno dia,Decrescente,Sol,Simples,Reta,-14.79488,-39.19183,DEL05-BA,Risco Médio,Baixa
terça-feira,BR-101,43.8,Anoitecer,Crescente,Vento,Múltipla,Reta,-7.847538,-34.90977,DEL01-PE,Risco Médio,Alta
quarta-feira,BR-324,602.4,Plena Noite,Decrescente,Chuva,Dupla,Reta,-12.77648,-38.41784,DEL01-BA,Risco Baixo,Baixa
quinta-feira,BR-101,84.1,Pleno dia,Crescente,Céu Claro,Dupla,Reta,-5.774175,-35.2578,DEL02-RN,Risco Médio,Alta
domingo,BR-60,84.9,Pleno dia,Crescente,Céu Claro,Dupla,Reta,-16.3162,-48.8552,DEL02-GO,Risco Baixo,Média
domingo,BR-163,759.0,Plena Noite,Crescente,Nublado,Simples,Reta,-12.49678,-55.68679,DEL06-MT,Risco Médio,Alta
sábado,BR-116,79.3,Pleno dia,Crescente,Nublado,Dupla,Reta,-25.397,-49.05721,DEL01-PR,Risco Médio,Alta
quarta-feira,BR-414,436.6,Pleno dia,Crescente,Céu Claro,Simples,Reta,-16.25483,-48.93612,DEL02-GO,Risco Baixo,Baixa
domingo,BR-116,271.5,Pleno dia,Crescente,Sol,Simples,Retorno Regulamentado,-22.55477,-44.17328,DEL07-RJ,Risco Médio,Alta
sexta-feira,BR-381,491.0,Pleno dia,Crescente,Céu Claro,Dupla,Reta,-19.95705,-44.15113,DEL01-MG,Risco Baixo,Alta
terça-feira,BR-285,112.2,Plena Noite,Decrescente,Céu Claro,Simples,Reta,-28.51305,-50.86028,DEL05-RS,Risco Baixo,Baixa
domingo,BR-153,514.0,Plena Noite,Crescente,Céu Claro,Dupla,Reta,-16.8315,-49.2434,DEL01-GO,Risco Médio,Alta
segunda-feira,BR-251,212.0,Pleno dia,Decrescente,Nublado,Simples,Reta,-15.90504,-41.56522,DEL11-MG,Risco Médio,Baixa
sexta-feira,BR-40,606.6,Pleno dia,Crescente,Céu Claro,Simples,Interseção de vias,-20.47577,-43.84285,DEL05-MG,Risco Médio,Alta
sexta-feira,BR-116,516.8,Pleno dia,Crescente,Céu Claro,Dupla,Reta,-31.67014,-52.34056,DEL07-RS,Risco Médio,Alta
sexta-feira,BR-174,502.0,Pleno dia,Crescente,Céu Claro,Dupla,Reta,2.787376,-60.69952,DEL01-RR,Risco Baixo,Baixa
segunda-feira,BR-101,212.0,Pleno dia,Decrescente,Nublado,Múltipla,Reta,-27.62997,-48.65904,DEL01-SC,Risco Médio,Alta
segunda-feira,BR-232,504.0,Anoitecer,Crescente,Céu Claro,Simples,Reta,-8.057102,-39.09509,DEL05-PE,Risco Médio,Baixa
segunda-feira,BR-101,47.0,Amanhecer,Crescente,Céu Claro,Simples,Reta,-21.60743,-41.31656,DEL08-RJ,Risco Médio,Alta
terça-feira,BR-101,269.1,Pleno dia,Decrescente,Sol,Múltipla,Reta,-20.2174,-40.26991,DEL02-ES,Risco Médio,Alta
domingo,BR-70,42.2,Anoitecer,Decrescente,Céu Claro,Simples,Reta,-15.76909,-52.57808,DEL07-MT,Risco Médio,Baixa
segunda-feira,BR-153,238.0,Plena Noite,Crescente,Garoa/Chuvisco,Simples,Reta,-20.2456,-49.1657,DEL13-MG,Risco Baixo,Alta
segunda-feira,BR-290,104.9,Plena Noite,Crescente,Céu Claro,Dupla,Reta,-29.99312,-51.2754,DEL02-RS,Risco Médio,Baixa
sexta-feira,BR-376,170.8,Pleno dia,Decrescente,Chuva,Dupla,Não Informado,-23.41018,-51.98705,DEL07-PR,Risco Médio,Baixa
segunda-feira,BR-101,399.0,Pleno dia,Crescente,Céu Claro,Dupla,Reta,-22.87267,-43.74282,DEL03-RJ,Risco Médio,Alta
sexta-feira,BR-232,354.0,Plena Noite,Crescente,Céu Claro,Simples,Reta,-8.057876,-37.823,DEL03-PE,Risco Médio,Baixa
domingo,BR-116,704.5,Pleno dia,Decrescente,Sol,Simples,Reta,-21.13417,-42.38723,DEL05-MG,Risco Médio,Alta
domingo,BR-470,285.5,Plena Noite,Decrescente,Céu Claro,Simples,Reta,-29.63479,-51.46931,DEL04-RS,Risco Médio,Baixa
sábado,BR-101,209.0,Amanhecer,Decrescente,Céu Claro,Dupla,Rotatória,-27.60631,-48.63471,DEL01-SC,Risco Médio,Alta
sexta-feira,BR-40,0.6,Pleno dia,Crescente,Céu Claro,Dupla,Reta,-15.9769,-47.99013,DEL01-DF,Risco Médio,Alta
quinta-feira,BR-101,76.6,Pleno dia,Decrescente,Chuva,Dupla,Reta,-29.80063,-50.23503,DEL03-RS,Risco Médio,Alta
quinta-feira,BR-116,668.5,Pleno dia,Decrescente,Sol,Simples,Não Informado,-20.84236,-42.32613,DEL07-MG,Risco Médio,Alta
segunda-feira,BR-101,290.6,Pleno dia,Crescente,Céu Claro,Dupla,Interseção de vias,-20.28928,-40.39182,DEL01-ES,Risco Médio,Alta
terça-feira,BR-282,437.1,Pleno dia,Decrescente,Céu Claro,Simples,Interseção de vias,-26.96376,-51.85484,DEL07-SC,Risco Baixo,Baixa
quinta-feira,BR-435,113.0,Plena Noite,Crescente,Céu Claro,Simples,Reta,-13.19015,-60.72141,DEL04-RO,Risco Médio,Baixa
sexta-feira,BR-316,63.0,Pleno dia,Crescente,Ignorado,Dupla,Interseção de vias,-1.296794,-47.92878,DEL01-PA,Risco Médio,Baixa
quarta-feira,BR-116,139.4,Pleno dia,Crescente,Sol,Dupla,Reta,-23.16156,-45.80405,DEL06-SP,Risco Médio,Alta
domingo,BR-116,468.7,Anoitecer,Decrescente,Céu Claro,Simples,Reta,-7.238002,-38.84377,DEL05-CE,Risco Alto,Alta
terça-feira,BR-285,206.3,Pleno dia,Decrescente,Céu Claro,Simples,Reta,-28.2184,-51.57914,DEL08-RS,Risco Alto,Baixa
domingo,BR-135,10.9,Amanhecer,Decrescente,Chuva,Dupla,Reta,-2.664024,-44.28633,DEL01-MA,Risco Médio,Baixa
quinta-feira,BR-40,616.5,Pleno dia,Decrescente,Chuva,Simples,Não Informado,-20.54606,-43.8199,DEL05-MG,Risco Médio,Alta
quinta-feira,BR-386,70.9,Pleno dia,Decrescente,Céu Claro,Simples,Interseção de vias,-27.66222,-53.31423,DEL08-RS,Risco Médio,Média
domingo,BR-381,767.9,Pleno dia,Decrescente,Chuva,Dupla,Reta,-21.768,-45.42028,DEL16-MG,Risco Médio,Alta
domingo,BR-262,471.5,Pleno dia,Crescente,Céu Claro,Simples,Reta,-19.78632,-45.16679,DEL08-MG,Risco Médio,Média
terça-feira,BR-116,10.6,Pleno dia,Decrescente,Nublado,Simples,Retorno Regulamentado,-14.86429,-40.87283,DEL08-BA,Risco Médio,Alta
domingo,BR-116,583.1,Pleno dia,Crescente,Nublado,Simples,Não Informado,-20.21425,-42.18136,DEL06-MG,Risco Médio,Alta
terça-feira,BR-101,296.3,Pleno dia,Decrescente,Sol,Múltipla,Reta,-20.34316,-40.40375,DEL01-ES,Risco Médio,Alta
domingo,BR-386,209.0,Amanhecer,Crescente,Nublado,Simples,Reta,-28.53142,-52.62327,DEL04-RS,Risco Alto,Média
domingo,BR-381,477.5,Plena Noite,Crescente,Céu Claro,Dupla,Não Informado,-19.95774,-44.03006,DEL01-MG,Risco Médio,Alta
segunda-feira,BR-381,494.0,Pleno dia,Decrescente,Sol,Dupla,Reta,-19.9731,-44.1843,DEL01-MG,Risco Médio,Alta
domingo,BR-364,238.0,Pleno dia,Decrescente,Céu Claro,Simples,Reta,-11.43886,-61.45471,DEL02-RO,Risco Baixo,Alta
terça-feira,BR-381,691.5,Anoitecer,Decrescente,Céu Claro,Dupla,Curva,-21.2187,-45.1273,DEL04-MG,Risco Alto,Alta
quinta-feira,BR-101,68.0,Plena Noite,Decrescente,Céu Claro,Dupla,Viaduto,-8.050743,-34.94581,DEL01-PE,Risco Médio,Alta
sexta-feira,BR-163,196.3,Pleno dia,Decrescente,Chuva,Dupla,Curva,-25.0589,-53.5621,DEL04-PR,Risco Médio,Alta
sexta-feira,BR-101,44.8,Pleno dia,Crescente,Sol,Múltipla,Reta,-7.861977,-34.90798,DEL01-PE,Risco Médio,Alta
sábado,BR-153,141.8,Plena Noite,Decrescente,Céu Claro,Simples,Curva,-21.3365,-49.792,DEL07-SP,Risco Médio,Alta
quinta-feira,BR-116,136.0,Pleno dia,Crescente,Céu Claro,Dupla,Reta,-23.14874,-45.77864,DEL02-SP,Risco Médio,Alta
quinta-feira,BR-40,519.9,Pleno dia,Crescente,Céu Claro,Dupla,Curva,-19.84718,-44.07307,DEL01-MG,Risco Alto,Alta
sábado,BR-40,21.0,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,-16.21854,-47.91573,DEL01-DF,Risco Médio,Alta
domingo,BR-40,608.2,Pleno dia,Decrescente,Céu Claro,Simples,Reta,-20.48608,-43.83822,DEL05-MG,Risco Médio,Alta
quinta-feira,BR-116,416.5,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,-18.89215,-41.947,DEL06-MG,Risco Médio,Alta
