track_id,track_name,track_artist,playlist_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
4YaU1EjXIkdRdkOI4cCZys,Signs - Eden Prince Remix,Starley,Pop Remix,0.702,0.814,-7.51,0.0841,0.107,3.03e-05,0.374,0.503,121.993,4
0Fc9QSMX6fgEBgDjUax7t7,Ruin My Life - Steve James Remix,Zara Larsson,Pop Remix,0.723,0.837,-6.487,0.0389,0.0103,0.000477,0.0834,0.643,123.952,4
7AasLZ4TYgh7dbJXZxcZVE,Torn - KREAM Remix,Ava Max,Pop Remix,0.742,0.864,-5.06,0.0976,0.00141,0.00467,0.241,0.727,125.032,4
7p4jpmyBnOpqQ3rSGJzZ7w,Quite Miss Home - Steve Void Remix,James Arthur,Pop Remix,0.716,0.815,-4.121,0.0533,0.108,0.0,0.163,0.351,124.975,2
4sLtguRBis05qfsBgJ1IdN,Love Me Less (feat. Quinn XCII) - Party Pupils Remix,MAX,Pop Remix,0.748,0.831,-5.029,0.115,0.0823,7.36e-05,0.0757,0.894,128.024,4
508lUjbGcPrL0CfvHC7UvI,Happier - Matt Medved Remix,Marshmello,Pop Remix,0.816,0.833,-5.972,0.0511,0.126,9.09e-06,0.0625,0.793,122.032,4
7FDaS1k08rwMoAThmzUkOZ,Side Effects - Fedde Le Grand Remix,The Chainsmokers,Pop Remix,0.633,0.854,-4.046,0.0432,0.0382,2.83e-05,0.434,0.659,126.026,1
6m8SIT10j41SPpPFOknTmP,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],ILLENIUM,Pop Remix,0.563,0.81,-2.921,0.0522,0.00522,0.0,0.0846,0.495,129.975,2
5Vwgf4MVO0vLv8fbxaGGiW,Paradise - Bazzi vs. Black Caviar Remix,Bazzi vs.,Pop Remix,0.728,0.815,-2.878,0.046,0.00223,0.000317,0.101,0.681,124.019,4
5scxjvcdozadBoRRN0UMaM,White Mercedes - EDX's Miami Sunset Remix,Charli XCX,Pop Remix,0.846,0.773,-3.503,0.0473,0.0141,2.23e-05,0.204,0.586,124.008,4
6oJ6le65B3SEqPwMRNXWjY,Higher Love,Kygo,Pop Remix,0.693,0.678,-7.159,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,4
2tilX6FUl0IwFgiOYjuc6V,Unlove You,Armin van Buuren,Pop Remix,0.678,0.928,-3.66,0.0597,0.0303,3.33e-05,0.143,0.663,116.892,4
3yNZ5r3LKfdmjoS3gkhUCT,bad guy (with Justin Bieber),Billie Eilish,Pop Remix,0.67,0.453,-11.265,0.295,0.252,0.33,0.117,0.68,135.055,5
478QYNLw6dhTTx4oEkhBeq,Freaking Me Out - Keanu Silva Remix,Ava Max,Pop Remix,0.755,0.931,-4.104,0.0606,0.132,0.0271,0.0854,0.288,122.041,2
3C4fzUgIP3ahkhOBdP38GM,Heaven Can Wait - The Aston Shuffle Remix,Sia,Pop Remix,0.622,0.859,-7.626,0.0636,0.000609,0.746,0.0909,0.442,121.968,3
2k4c9ZAlIYHyXiJ4i20FO7,When It Comes To You - Benny Benassi & BB Team Remix,Sean Paul,Pop Remix,0.789,0.893,-4.364,0.168,0.0538,0.0,0.221,0.41,121.956,4
79zGYOcAe2VmJsyQiJX31a,Gone - The Wild Remix,Charli XCX,Pop Remix,0.64,0.838,-4.203,0.0416,0.0588,1.99e-05,0.0424,0.587,124.081,2
6B2NRQjtSOtqi67d72r5cx,American Boy - Brooks Remix,Estelle,Pop Remix,0.609,0.764,-4.564,0.111,0.0994,0.0,0.197,0.531,128.082,2
08rBIlTMXlF5uEHobZglxv,Million Pieces - M-22 Remix,Bastille,Pop Remix,0.64,0.992,-3.318,0.0585,0.0832,0.0083,0.109,0.479,123.951,2
1BmdqDrBU5eohtRwHBls6C,joy. (R3HAB Remix),for KING & COUNTRY,Pop Remix,0.75,0.81,-4.607,0.0572,0.0917,1.59e-05,0.111,0.48,120.038,4
5rxKInBVj0QE87KenyDiLf,Crash Into Me - Settle Down Steavis Aoki Remix,Steve Aoki,Pop Remix,0.535,0.956,-2.996,0.0343,0.000609,0.0109,0.262,0.12,127.984,2
3kgKVcBpBGuSeaEC0AZGlb,Old Town Road - Diplo Remix,Lil Nas X,Pop Remix,0.766,0.771,-9.108,0.0576,0.00407,3.76e-06,0.113,0.297,140.036,2
5qCrT9lVmIGxqB8i6bb83P,Lovers + Strangers - GATTÜSO Remix,Starley,Pop Remix,0.649,0.821,-4.952,0.0472,0.017,0.000347,0.0655,0.394,125.977,2
3Lv3frZVXU7Q0JEFvLIzWW,Promises (with Sam Smith) - David Guetta Remix,Calvin Harris,Pop Remix,0.588,0.697,-4.744,0.0372,0.186,0.000219,0.103,0.225,125.157,2
2bZYJvVRN5EqIvAUFhUNls,Flames (with ZAYN) - R3HAB & Skytech VIP Remix,R3HAB,Pop Remix,0.355,0.789,-4.358,0.165,0.0148,0.0,0.0355,0.169,80.444,2
3utdq3dPLVD4r7Vv9BnCAI,What Am I - SONDR Remix,Why Don't We,Pop Remix,0.542,0.84,-5.283,0.0419,0.0336,8.45e-05,0.277,0.509,118.02,2
1ppOGANOzMT01Cxh9jx4hN,Cool Kids,Olympis,Pop Remix,0.735,0.5,-11.297,0.0511,0.415,3.12e-05,0.13,0.119,126.1,0
5Shjuje8PRcX7ueEVajrLH,Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,DJ Snake,Pop Remix,0.752,0.84,-4.451,0.0373,0.00486,0.0109,0.0916,0.461,124.002,4
6wKJjrWWP4qpzYbE8oQkc4,All Star - Breathe Carolina Remix,Smash Mouth,Pop Remix,0.748,0.903,-5.877,0.0385,0.0324,0.0,0.106,0.751,115.018,4
6EDH26ppl7R8oV4tGilCkS,Trampoline - Dave Audé Remix,SHAED,Pop Remix,0.607,0.955,-3.613,0.102,0.0163,0.121,0.0725,0.501,125.984,2
4RaN7556EogBfF80klMEX2,Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,David Guetta,Pop Remix,0.607,0.995,-2.325,0.0487,0.0921,0.002,0.0445,0.664,124.998,2
1nwoWaqzB30bD4IPqRNuex,With You - Dexter Remix,Kaskade,Pop Remix,0.679,0.786,-6.918,0.132,0.119,5.89e-06,0.224,0.47,126.092,2
4fDBElPGDqZQ3rJorZTm2w,Safety (feat. DJ Snake) - Dark Heart 2am Mix,GASHI,Pop Remix,0.714,0.801,-5.8,0.0301,0.0204,0.00615,0.334,0.292,124.015,2
6AZ21kPj2a0INgf3uCviVu,Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,Bazzi vs.,Pop Remix,0.69,0.862,-4.154,0.0944,0.0611,1.85e-05,0.238,0.453,121.975,2
3uXHSf9sSIpOJWuC1H8DiU,Talk - Disclosure VIP,Khalid,Pop Remix,0.775,0.867,-7.388,0.204,0.0158,0.0117,0.0355,0.565,128.956,4
4Q9iBGT9b9CVTtDwsgQWnl,Spicy - Majestic Remix,Herve Pagez,Pop Remix,0.814,0.838,-5.547,0.0763,0.001,0.0223,0.0185,0.959,121.978,4
6LCsZ8ARrIq0n9nr6gM2ru,Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,Mark Ronson,Pop Remix,0.784,0.779,-5.48,0.0387,0.0357,0.025,0.0245,0.459,124.994,4
27F9FlipD657qYRQT3qxFm,Treehouse - R3HAB Remix,James Arthur,Pop Remix,0.367,0.783,-4.504,0.154,0.00515,0.0,0.0545,0.289,88.013,2
6B9cqNooxIyPfr3P5EB8LA,Hearts Ain't Gonna Lie - Eden Prince Remix,Arlissa,Pop Remix,0.609,0.83,-3.759,0.0793,0.201,6.18e-05,0.0321,0.604,117.833,4
05CwHjIk71RXVU40boRMnR,Call You Mine,The Chainsmokers,Dance Pop,0.591,0.702,-5.59,0.0289,0.225,0.0,0.414,0.501,104.003,1
0qc4QlcCxVTGyShurEv1UU,Post Malone (feat. RANI),Sam Feldt,Dance Pop,0.59,0.642,-3.87,0.122,0.0771,0.0,0.105,0.651,107.356,4
5icOoE6VgqFKohjWWNp0Ac,Here With Me,Marshmello,Dance Pop,0.791,0.565,-3.933,0.0439,0.0623,0.0,0.156,0.181,99.961,4
6GIRtKNXokeu25nn7U6Hu8,Easier - Seeb Remix,5 Seconds of Summer,Dance Pop,0.564,0.747,-3.374,0.0584,0.0728,0.0,0.151,0.717,97.878,4
4PkIDTPGedm0enzdvilLNd,Sixteen,Ellie Goulding,Dance Pop,0.669,0.801,-5.445,0.136,0.268,0.0,0.0594,0.541,109.919,4
5PYQUBXc7NYeI1obMKSJK0,Never Really Over,Katy Perry,Dance Pop,0.77,0.882,-4.792,0.0602,0.194,0.0,0.316,0.385,99.991,4
4Gcv5SsxnQWpmOnUI19EJk,All You Need To Know (feat. Calle Lehmann),Gryffin,Dance Pop,0.513,0.788,-4.629,0.0364,0.00968,0.0,0.11,0.234,139.987,2
5YkmS18BehACOhIIeUqe6l,I Miss Myself (with HRVY),NOTD,Dance Pop,0.72,0.864,-3.249,0.208,0.0856,0.0,0.16,0.659,96.048,4
3vQhEd4lOg4mAV6CHCgoHW,South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,Ed Sheeran,Dance Pop,0.789,0.858,-4.388,0.0404,0.22,4.58e-05,0.335,0.491,110.012,4
6wo37KVqFJhtuxPTpLCcfe,Takeaway (feat. Lennon Stella),The Chainsmokers,Dance Pop,0.294,0.505,-8.106,0.042,0.12,0.0,0.0977,0.357,85.332,2
3OTSBoYKO7HzGVj8Bu2OH9,All the Time,Zara Larsson,Dance Pop,0.665,0.799,-2.868,0.0617,0.18,0.0,0.125,0.5,101.976,4
4NSW0Km5ZG60L8FthUebPJ,What I Like About You (feat. Theresa Rex),Jonas Blue,Dance Pop,0.46,0.8,-3.584,0.05,0.289,6.16e-06,0.121,0.553,102.46,2
1xK7enJZVdv37fnnxoZlPq,With You,Kaskade,Dance Pop,0.362,0.921,-3.815,0.486,0.123,0.0,0.19,0.529,172.191,5
1z1XegUChLLQfcbtIK8ABn,Body Back (feat. Maia Wright),Gryffin,Dance Pop,0.686,0.83,-4.437,0.0369,0.0948,1.33e-06,0.182,0.486,123.032,2
6aoGtdWXBkYQ2O2wnyIz2x,Not Ok,Kygo,Dance Pop,0.618,0.66,-8.14,0.0372,0.0292,2.07e-06,0.325,0.408,105.0,2
5tAa8Uaqr4VvA3693mbIhU,Ruin My Life,Zara Larsson,Dance Pop,0.665,0.699,-5.265,0.0578,0.423,0.0,0.0969,0.585,124.896,4
18W92Zm1KjLCbUIszOhpkD,I Wanna Know (feat. Bea Miller),NOTD,Dance Pop,0.661,0.725,-4.859,0.0563,0.0253,0.0,0.123,0.605,119.927,4
3D37T7euWvVJ45evRmriIh,Better With You,3LAU,Dance Pop,0.571,0.752,-4.872,0.0293,0.0196,6.92e-05,0.114,0.25,102.043,2
3y3brCCecHC3Db18aIOnny,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,Dance Pop,0.591,0.705,-6.519,0.079,0.381,0.000116,0.131,0.27,121.799,2
6XqvFyJGdUD5IWee02ARKU,Polaroid,Jonas Blue,Dance Pop,0.652,0.898,-4.481,0.0361,0.29,0.0,0.073,0.472,114.043,2
575NJxNUVDqwJGdzBrlLbv,Lost In Japan - Remix,Shawn Mendes,Dance Pop,0.706,0.855,-5.377,0.215,0.0911,0.0,0.347,0.293,107.184,5
70YPzqSEwJvAIQ6nMs1cjY,In Your Arms (with X Ambassadors),ILLENIUM,Dance Pop,0.404,0.806,-4.75,0.0496,0.198,0.0,0.114,0.112,148.036,2
7Ht0v0LWBCOEjmNQ0iMpNr,I'm Not Alright,Loud Luxury,Dance Pop,0.876,0.856,-3.884,0.0486,0.0812,1.29e-06,0.457,0.685,121.991,4
6nDKrPlXdpomGBgAlO7UdP,SOS,Avicii,Dance Pop,0.802,0.645,-6.181,0.0715,0.272,0.0,0.119,0.376,100.001,4
2b1BwUGGyKq0CoJd8G1B6M,Harder,Jax Jones,Dance Pop,0.906,0.832,-3.004,0.0718,0.0909,0.0,0.152,0.751,104.03,4
09IStsImFySgyp0pIQdqAc,The Middle,Zedd,Dance Pop,0.753,0.657,-3.061,0.0449,0.171,0.0,0.112,0.437,107.01,4
1lGVyEkGHUz7Pg78QGaS4a,Wanted,NOTD,Dance Pop,0.693,0.674,-4.449,0.0723,0.185,0.0,0.0639,0.378,95.972,4
6ksMjdec8b6C45TUawkAdu,Crash Into Me,Steve Aoki,Dance Pop,0.672,0.815,-6.476,0.0981,0.00246,0.0,0.577,0.341,115.033,1
1vsQb8n0icvMsFnL9663LM,Need Your Love (with Noah Kahan),Gryffin,Dance Pop,0.581,0.76,-3.962,0.0406,0.16,0.0,0.183,0.523,104.099,2
6pooRNiLyYpxZeIA5kJ5EX,Good Things Fall Apart (with Jon Bellion),ILLENIUM,Dance Pop,0.643,0.594,-5.453,0.0318,0.0128,0.0,0.118,0.442,144.033,2
5WHTFyqSii0lmT9R21abT8,Don't Call Me Up,Mabel,Dance Pop,0.674,0.881,-2.853,0.147,0.296,3.01e-06,0.0793,0.234,98.994,2
1pBO9JDqh1y3TbCKEO1OvG,Nostalgic,A R I Z O N A,Dance Pop,0.691,0.538,-9.952,0.103,0.246,0.163,0.178,0.329,99.972,0
1LjxmkW3xRQP2HzswhYyyc,Let It Be Me,Steve Aoki,Dance Pop,0.661,0.758,-5.299,0.0864,0.0797,0.0,0.106,0.387,114.098,2
7FCZhkhzEUVNUAlGauNKIe,Lovers + Strangers,Starley,Dance Pop,0.653,0.69,-5.003,0.0756,0.109,0.0,0.136,0.652,110.214,4
2JoIjuzRplpYGvvLpSW2on,Sad Song (feat. TINI),Alesso,Dance Pop,0.734,0.693,-6.474,0.0361,0.0878,0.0,0.341,0.55,110.021,4
4PUWpNtDejQwwa80LjvxXl,Sleepless Nights,ayokay,Dance Pop,0.663,0.696,-5.994,0.0349,0.0563,6.25e-06,0.226,0.449,139.98,2
1nufXiTCTTAeJfO9hLHvO8,Save Me Tonight,ARTY,Dance Pop,0.55,0.899,-3.284,0.0458,0.0113,9.65e-05,0.137,0.408,125.85,2
1NDxZ7cFAo481dtYWdrUnR,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,Dance Pop,0.703,0.868,-4.661,0.0291,0.15,0.132,0.104,0.733,121.03,4
1ahVFh0ViDZr8LvkEVlq3B,No Sleep (feat. Bonn),Martin Garrix,Dance Pop,0.44,0.635,-6.385,0.0326,0.129,0.0,0.121,0.327,128.133,2
0Ev562zA4pmUsBqjxsxxdx,Feel Good (feat. Daya),Gryffin,Dance Pop,0.625,0.707,-4.761,0.0337,0.22,0.0,0.213,0.479,138.064,2
5l8AUgBTWuOECwVgYtaUyE,Endless Summer,Cashae,Dance Pop,0.625,0.719,-5.541,0.0612,0.048,0.0,0.0668,0.326,101.091,2
35MKhw2YBKApmD7fAnPERC,Faith (with Dolly Parton) [feat. Mr. Probz],Galantis,Dance Pop,0.547,0.795,-3.721,0.0489,0.145,0.0,0.11,0.723,118.118,4
3Kuu5vASpXK8oRsxOvau6P,Think About You,Kygo,Dance Pop,0.673,0.596,-7.891,0.0354,0.166,0.0,0.11,0.19,123.969,2
7KW3XQV5Or5CF57MYVj5h4,Party For One,Carly Rae Jepsen,Dance Pop,0.699,0.633,-6.547,0.0362,0.0453,0.0,0.101,0.458,123.449,4
3M9Apu4OZfylLTFKvgEtKa,Ritual,Tiësto,Dance Pop,0.647,0.726,-4.389,0.0552,0.157,0.0,0.0844,0.767,114.996,4
5N4erncE7kuUccm7zEmwzk,Electricity (with Dua Lipa),Silk City,Dance Pop,0.588,0.67,-6.439,0.0473,0.0104,3.33e-06,0.338,0.505,118.159,2
6QcrReLyoun4xrPVsZ5OJE,Lie,Shallou,Dance Pop,0.655,0.427,-11.684,0.0799,0.295,0.00108,0.0788,0.224,107.992,0
1kQhi22kyluRCnIPAXtxEZ,I Found You (with Calvin Harris),benny blanco,Dance Pop,0.79,0.865,-4.159,0.0438,0.0264,0.0892,0.24,0.362,122.99,2
5cE201rNvIkryS8N1dJ5nR,Now That I Found You,Carly Rae Jepsen,Dance Pop,0.611,0.737,-5.154,0.0476,0.0145,0.0,0.107,0.574,124.169,2
4AkCyd9Nlbt8JprQq9V6o2,All Comes Back To You,R3HAB,Dance Pop,0.726,0.763,-6.872,0.0882,0.524,2.64e-06,0.0943,0.516,128.02,4
48GmVZwvkoVC5StfMLfNJE,Need U,DVBBS,Dance Pop,0.714,0.705,-6.479,0.0995,0.292,0.000386,0.126,0.471,114.994,4
01iyINEYgPQ7ThMZuHUsqS,First Love,Lost Kings,Dance Pop,0.619,0.938,-5.245,0.35,0.0257,1.39e-05,0.128,0.601,94.38,5
6BwClo5W3VvTzJv8bvZXDD,Something Real,Armin van Buuren,Dance Pop,0.575,0.808,-4.578,0.0439,0.0446,0.0,0.0693,0.232,127.922,2
108r6pnZHStBIktpyyps9w,TIME,Alesso,Dance Pop,0.768,0.808,-1.818,0.112,0.00627,5.33e-06,0.343,0.664,119.971,4
24Hzd4FPhz0HPx9jhM9cap,Something About You (with Rudimental),Elderbrook,Dance Pop,0.767,0.605,-5.737,0.188,0.559,0.000363,0.193,0.657,107.042,5
4aTtHoSBB0CuQGA6vXBNyp,Home (feat. Bonn),Martin Garrix,Dance Pop,0.466,0.612,-4.855,0.0307,0.0655,4.07e-06,0.132,0.236,128.114,2
0gIZLyF3MWQVcspzrLWYod,Simple (STVW Remix),FANNYPACK,Dance Pop,0.434,0.917,-3.613,0.0633,0.301,1.8e-05,0.289,0.622,121.967,2
6y1UtRcHQU07aUs3oxZ8Yn,Sorry,Joel Corry,Dance Pop,0.744,0.79,-4.617,0.0562,0.0547,0.000802,0.32,0.847,125.002,4
54z0kLF0skj0Hdb9wCqPJt,Spicy (with Diplo & Charli XCX),Herve Pagez,Dance Pop,0.837,0.818,-4.474,0.0533,0.0527,0.00642,0.11,0.484,109.993,4
6mPstbtzhyqKmwefY4eVWD,The Upside (feat. Elle King),Lindsey Stirling,Dance Pop,0.514,0.856,-4.285,0.0717,0.00123,6.34e-06,0.544,0.351,117.014,1
6uBhi9gBXWjanegOb2Phh0,Stay,Zedd,Dance Pop,0.69,0.622,-5.025,0.0622,0.253,0.0,0.116,0.544,102.04,4
1Pe3Tnahd3nNcKrTvNvNvW,Million Voices,Armin van Buuren,Dance Pop,0.466,0.869,-4.275,0.0529,0.0142,0.00241,0.115,0.185,126.113,2
4w8niZpiMy6qz1mntFA5uM,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,Dance Pop,0.842,0.801,-4.167,0.228,0.157,4.82e-06,0.0642,0.617,95.881,4
7BKLCZ1jbUBVqRi2FVlTVw,Closer (feat. Halsey),The Chainsmokers,Dance Pop,0.748,0.524,-5.599,0.0338,0.414,0.0,0.111,0.661,95.01,4
2IDHoSlbG0CKH9rhq68wTb,Say My Name (feat. Zyra) - RAC Mix,ODESZA,Dance Pop,0.647,0.624,-8.446,0.0451,0.025,0.056,0.0616,0.477,115.002,4
60wwxj6Dd9NJlirf84wr2c,Clarity,Zedd,Dance Pop,0.509,0.781,-3.48,0.072,0.0398,0.0,0.0749,0.176,128.0,2
6kPJZM97LwdG9QIsT7khp6,Solo (feat. Demi Lovato),Clean Bandit,Dance Pop,0.737,0.636,-4.546,0.0437,0.0441,6.66e-05,0.35,0.565,105.005,4
3ebXMykcMXOcLeJ9xZ17XH,Scared to Be Lonely,Martin Garrix,Dance Pop,0.584,0.54,-7.786,0.0576,0.0895,0.0,0.261,0.195,137.972,2
7iNIg7XDEaYECfWD5dJ9Va,Friends (with BloodPop®),Justin Bieber,Dance Pop,0.743,0.733,-5.337,0.0375,0.00402,0.0,0.304,0.622,104.977,4
6cy3ki60hLwimwIje7tALf,RITMO (Bad Boys For Life),The Black Eyed Peas,Dance Pop,0.721,0.716,-7.037,0.0657,0.0334,0.00084,0.237,0.667,104.994,4
5N5k9nd479b1xpDZ4usjrg,Promises (with Sam Smith),Calvin Harris,Dance Pop,0.781,0.768,-5.991,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,4
0qaWEvPkts34WF68r8Dzx9,Turn Me On (feat. Vula),Riton,Dance Pop,0.737,0.828,-4.711,0.0396,0.0149,0.000583,0.0862,0.517,124.052,4
6jq6rcOikCZAmjliAgAmfT,Light,San Holo,Dance Pop,0.57,0.763,-4.137,0.0573,0.0857,2.49e-06,0.0932,0.43,150.088,2
762UXiwEHYY97VL45sAUPR,2U,David Guetta,Dance Pop,0.551,0.651,-5.828,0.0594,0.225,0.0,0.224,0.562,144.875,2
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,The Chainsmokers,Dance Pop,0.617,0.635,-6.769,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,4
7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),Calvin Harris,Dance Pop,0.791,0.862,-3.24,0.11,0.037,2.19e-05,0.0814,0.592,123.994,4
3zU9rdflI65tK4dkkNSp77,Heroes (we could be),Alesso,Dance Pop,0.503,0.748,-4.124,0.0619,0.0305,0.0,0.343,0.356,125.896,2
12GEpg2XOPyqk03JZEZnJs,It Ain’t Me (with Selena Gomez),Kygo,Dance Pop,0.64,0.533,-6.596,0.0706,0.119,0.0,0.0864,0.515,99.968,4
